,data_types,hubmap_id,origin_samples_unique_mapped_organs,uuid
323,['salmon_rnaseq_snareseq'],HBM874.JPGB.398,['Kidney (Right)'],56742ee7dcbe8b03d964f519009db12d
324,['salmon_sn_rnaseq_10x'],HBM864.CWHJ.963,['Lung (Right)'],9305d53ae8c0dd565a088cd45f20e0c8
325,['salmon_sn_rnaseq_10x'],HBM929.VSJQ.633,['Lung (Right)'],37ccf28cb5c06e8ba076f587ee4e50be
326,['salmon_sn_rnaseq_10x'],HBM689.ZKRJ.585,['Kidney (Left)'],0d1eb3d774a694b79e844987f771b183
327,['salmon_sn_rnaseq_10x'],HBM356.QPJF.839,['Kidney (Left)'],8f27d93b71147597f38de827f233930e
328,['salmon_sn_rnaseq_10x'],HBM363.TBHH.346,['Kidney (Left)'],e65175561b4b17da5352e3837aa0e497
329,['salmon_sn_rnaseq_10x'],HBM597.PBJW.593,['Kidney (Left)'],b2ab05f290c0740c3198f020cd70e78d
330,['salmon_sn_rnaseq_10x'],HBM673.LDWQ.669,['Lung (Right)'],045a7d6bcca6e1d22c7f6dee032ce25a
331,['salmon_sn_rnaseq_10x'],HBM574.MNBP.566,['Lung (Left)'],b5aaa0ff6cde445a6808dc03e27c9364
332,['salmon_sn_rnaseq_10x'],HBM389.CRWJ.888,['Lung (Left)'],96b322ef4a9a31c0a6c80ac0cc1c8a31
333,['salmon_sn_rnaseq_10x'],HBM765.NHZB.337,['Lung (Left)'],d4b23a7e9ecabca43d99d9b7444b742b
334,['salmon_sn_rnaseq_10x'],HBM844.SDWH.792,['Lung (Left)'],65fff84c7cbf4fda89c1a038f4739edc
335,['salmon_sn_rnaseq_10x'],HBM958.LLPS.333,['Lung (Left)'],5952a8d5dd376b81baaf5f9b784c1cd4
336,['salmon_sn_rnaseq_10x'],HBM588.VDDL.553,['Lung (Left)'],5e47d518f078be2553080b88d8b33323
337,['salmon_sn_rnaseq_10x'],HBM473.FZJS.484,['Large Intestine'],ff5d0d740fea8963e91f2e35c0a85596
338,['salmon_sn_rnaseq_10x'],HBM999.KMVN.849,['Small Intestine'],148d6445ed0cda5cabae377829013b4c
